seq_id,file_path,start_ts,end_ts,hours,km,outage_minutes
io_vnbd_S-Vta7_1,processed/io_vnbd/io_vnbd_S-Vta7_1,0.0,83.9,0.0233,1.45,0.0
io_vnbd_S-Vta7_2,processed/io_vnbd/io_vnbd_S-Vta7_2,0.0,83.9,0.0233,1.45,0.0
io_vnbd_S-Vta27_1,processed/io_vnbd/io_vnbd_S-Vta27_1,0.0,253.9,0.0705,2.729,0.0
io_vnbd_S-Vta27_2,processed/io_vnbd/io_vnbd_S-Vta27_2,0.0,253.9,0.0705,2.729,0.0
io_vnbd_S-Vta6_1,processed/io_vnbd/io_vnbd_S-Vta6_1,0.0,137.5,0.0382,2.529,0.0
io_vnbd_S-Vta6_2,processed/io_vnbd/io_vnbd_S-Vta6_2,0.0,137.5,0.0382,2.529,0.0
io_vnbd_S-Vw12_1,processed/io_vnbd/io_vnbd_S-Vw12_1,0.0,91.7,0.0255,2.257,0.0
io_vnbd_S-Vw12_2,processed/io_vnbd/io_vnbd_S-Vw12_2,0.0,91.7,0.0255,2.257,0.0
io_vnbd_S-S1_1,processed/io_vnbd/io_vnbd_S-S1_1,0.0,5174.5,1.4374,37.208,0.0
io_vnbd_S-S1_2,processed/io_vnbd/io_vnbd_S-S1_2,0.0,5174.5,1.4374,37.208,0.0
io_vnbd_S-T9_1,processed/io_vnbd/io_vnbd_S-T9_1,0.0,7990.72,2.2196,371.55,0.0
io_vnbd_S-Vta30_1,processed/io_vnbd/io_vnbd_S-Vta30_1,0.0,1713.5,0.476,11.877,0.0
io_vnbd_S-Vta30_2,processed/io_vnbd/io_vnbd_S-Vta30_2,0.0,1713.5,0.476,11.877,0.0
io_vnbd_S-Vta21_1,processed/io_vnbd/io_vnbd_S-Vta21_1,0.0,207.8,0.0577,3.086,0.0
io_vnbd_S-Vta21_2,processed/io_vnbd/io_vnbd_S-Vta21_2,0.0,207.8,0.0577,3.086,0.0
io_vnbd_S-Vw5_1,processed/io_vnbd/io_vnbd_S-Vw5_1,0.0,101.1,0.0281,0.637,0.0
io_vnbd_S-Vw5_2,processed/io_vnbd/io_vnbd_S-Vw5_2,0.0,101.1,0.0281,0.637,0.0
io_vnbd_S-A5_1,processed/io_vnbd/io_vnbd_S-A5_1,0.0,6836.49,1.899,214.819,0.0
io_vnbd_S-Vw14a_1,processed/io_vnbd/io_vnbd_S-Vw14a_1,0.0,313.7,0.0871,7.945,0.0
io_vnbd_S-Vw14a_2,processed/io_vnbd/io_vnbd_S-Vw14a_2,0.0,313.7,0.0871,7.945,0.0
io_vnbd_S-A7_1,processed/io_vnbd/io_vnbd_S-A7_1,0.0,4387.1,1.2186,104.429,0.0
io_vnbd_S-T3_1,processed/io_vnbd/io_vnbd_S-T3_1,0.0,6432.0,1.7867,359.767,0.0
io_vnbd_S-T7_1,processed/io_vnbd/io_vnbd_S-T7_1,5498.185,10170.085,1.2977,452.83,0.0
io_vnbd_S-Vta24_1,processed/io_vnbd/io_vnbd_S-Vta24_1,0.0,117.0,0.0325,0.678,0.0
io_vnbd_S-Vta24_2,processed/io_vnbd/io_vnbd_S-Vta24_2,0.0,117.0,0.0325,0.678,0.0
io_vnbd_S-T1_1,processed/io_vnbd/io_vnbd_S-T1_1,488.274,681.534,0.0537,134.196,0.0
io_vnbd_S-Vw8_1,processed/io_vnbd/io_vnbd_S-Vw8_1,0.0,152.8,0.0424,0.964,0.0
io_vnbd_S-Vw8_2,processed/io_vnbd/io_vnbd_S-Vw8_2,0.0,152.8,0.0424,0.964,0.0
io_vnbd_S-Vw14c_1,processed/io_vnbd/io_vnbd_S-Vw14c_1,0.0,1582.5,0.4396,17.005,0.0
io_vnbd_S-Vta20_1,processed/io_vnbd/io_vnbd_S-Vta20_1,0.0,322.2,0.0895,0.65,0.0
io_vnbd_S-Vta20_2,processed/io_vnbd/io_vnbd_S-Vta20_2,0.0,322.2,0.0895,0.65,0.0
io_vnbd_S-Vta17_1,processed/io_vnbd/io_vnbd_S-Vta17_1,109.085,452.985,0.0955,7.188,0.0
io_vnbd_S-Vta17_2,processed/io_vnbd/io_vnbd_S-Vta17_2,109.085,452.985,0.0955,7.188,0.0
io_vnbd_S-Vtb1_1,processed/io_vnbd/io_vnbd_S-Vtb1_1,729.675,3245.795,0.6989,40.208,0.0
io_vnbd_S-Vtb1_2,processed/io_vnbd/io_vnbd_S-Vtb1_2,729.675,3245.795,0.6989,40.208,0.0
io_vnbd_S-S3a_1,processed/io_vnbd/io_vnbd_S-S3a_1,0.0,2462.0,0.6839,25.362,0.0
io_vnbd_S-S3a_2,processed/io_vnbd/io_vnbd_S-S3a_2,0.0,2462.0,0.6839,25.362,0.0
